Game Name,Genre,Platform,Mode,Style,Difficulty,Rating,Release Year,Developer,Graphics Type,Game Length,Multiplayer Type,Popularity Score
Fantasy Kings 226,Adventure,Nintendo,Multiplayer,Story Based,Hard,7.3,2016,Activision,Realistic,Long,Solo,85
Cyber Quest 227,Simulation,PC,Single Player,Sandbox,Medium,9.7,2021,Valve,Cartoon,Medium,Casual,73
Space Raiders 228,Horror,Nintendo,Multiplayer,Open World,Easy,7.8,2016,Capcom,Pixel,Medium,Online Co-op,77
Road Fury 229,Strategy,Nintendo,Multiplayer,Battle Royale,Hard,9.4,2025,Activision,Cartoon,Medium,Casual,71
Cyber Quest 230,RPG,PlayStation,Multiplayer,Story Based,Easy,8.6,2021,Epic Games,3D,Long,LAN,79
Epic Champions 231,Adventure,Mobile,Multiplayer,Simulation,Medium,9.1,2016,Epic Games,Cartoon,Short,Casual,78
Cyber Quest 232,RPG,Nintendo,Single Player,Battle Royale,Easy,8.2,2021,Ubisoft,3D,Long,Competitive,92
Dragon Realm 233,Action,Xbox,Single Player,Tactical,Easy,8.4,2025,EA Sports,3D,Short,Competitive,84
Dark Odyssey 234,Survival,PC,Multiplayer,Story Based,Medium,8.1,2023,Rockstar,Cartoon,Medium,Solo,82
Night Hunter 235,Shooter,PC,Single Player,Simulation,Medium,7.1,2017,Bethesda,Cartoon,Short,Solo,92
Shadow Strike 236,Survival,PC,Multiplayer,Open World,Hard,8.9,2017,CD Projekt,3D,Long,Solo,86
Pixel Warriors 237,Survival,Xbox,Single Player,Simulation,Hard,7.4,2019,Activision,Pixel,Long,Online Co-op,99
Space Raiders 238,Horror,Mobile,Single Player,Tactical,Hard,6.6,2018,Valve,3D,Medium,Solo,85
Fantasy Kings 239,Racing,Mobile,Multiplayer,Tactical,Hard,8.6,2019,CD Projekt,Anime,Short,Online Co-op,97
Epic Champions 240,Simulation,Mobile,Multiplayer,Story Based,Medium,7.1,2022,Valve,3D,Medium,Solo,71
Battle Arena 241,Horror,Nintendo,Single Player,Sandbox,Easy,9.6,2016,CD Projekt,Pixel,Medium,Online Co-op,89
Survival Zone 242,Sports,Nintendo,Multiplayer,Open World,Hard,9.6,2021,Activision,Anime,Long,Casual,89
Shadow Strike 243,Simulation,Mobile,Multiplayer,Simulation,Medium,9.5,2018,Bethesda,Realistic,Short,Casual,96
Survival Zone 244,RPG,PC,Single Player,Story Based,Easy,7.7,2025,CD Projekt,Realistic,Short,Competitive,83
Shadow Strike 245,RPG,PC,Multiplayer,Battle Royale,Medium,6.6,2022,Activision,Pixel,Short,Online Co-op,72
Dark Odyssey 246,Adventure,Mobile,Multiplayer,Battle Royale,Easy,9.6,2025,Nintendo,3D,Short,LAN,92
Battle Arena 247,Survival,PlayStation,Single Player,Simulation,Medium,7.9,2017,Bethesda,Cartoon,Medium,Competitive,81
Zombie Escape 248,Strategy,Nintendo,Multiplayer,Battle Royale,Hard,9.7,2017,Capcom,Pixel,Medium,Casual,77
Mystic World 249,Sports,PlayStation,Single Player,Simulation,Medium,9.7,2019,Valve,Anime,Long,Online Co-op,71
Shadow Strike 250,Racing,Mobile,Multiplayer,Open World,Hard,9.3,2016,Epic Games,Anime,Medium,Solo,73
Cyber Quest 251,RPG,Nintendo,Multiplayer,Tactical,Easy,7.5,2018,EA Sports,Realistic,Medium,LAN,83
Fantasy Kings 252,Action,Xbox,Single Player,Simulation,Medium,7.8,2024,Epic Games,Anime,Long,Casual,85
Battle Arena 253,Strategy,PlayStation,Multiplayer,Simulation,Easy,9.3,2022,Bethesda,Pixel,Long,Competitive,88
Shadow Strike 254,Shooter,PC,Single Player,Battle Royale,Hard,7.5,2022,Capcom,Anime,Long,Online Co-op,71
Road Fury 255,Shooter,Xbox,Multiplayer,Sandbox,Hard,7.1,2019,Valve,Pixel,Medium,LAN,81
Pixel Warriors 256,Adventure,Mobile,Single Player,Tactical,Medium,8.3,2017,Capcom,Cartoon,Medium,Online Co-op,98
Shadow Strike 257,Sports,Mobile,Multiplayer,Sandbox,Easy,9.6,2019,CD Projekt,Realistic,Long,Solo,83
Survival Zone 258,Action,Xbox,Single Player,Sandbox,Medium,8.8,2021,Valve,Anime,Long,Competitive,75
Fantasy Kings 259,Horror,Xbox,Multiplayer,Sandbox,Hard,8.4,2018,CD Projekt,Pixel,Long,Online Co-op,82
Zombie Escape 260,Horror,PC,Single Player,Story Based,Hard,6.8,2016,Activision,3D,Medium,Casual,73
Shadow Strike 261,Adventure,Xbox,Multiplayer,Simulation,Medium,8.5,2023,Bethesda,Realistic,Medium,Competitive,91
Pixel Warriors 262,Racing,PC,Single Player,Battle Royale,Hard,9.8,2020,Activision,Cartoon,Short,Casual,87
Road Fury 263,Sports,Mobile,Multiplayer,Battle Royale,Medium,7.0,2020,Ubisoft,Pixel,Medium,Online Co-op,81
Cyber Quest 264,Horror,Mobile,Single Player,Open World,Easy,8.2,2019,Capcom,Cartoon,Medium,Competitive,89
Hero Clash 265,RPG,Mobile,Multiplayer,Battle Royale,Medium,9.4,2021,CD Projekt,Cartoon,Medium,Casual,96
Hero Clash 266,Sports,Xbox,Multiplayer,Battle Royale,Easy,8.9,2018,Nintendo,Anime,Long,Solo,91
Zombie Escape 267,Sports,Mobile,Multiplayer,Simulation,Medium,8.8,2024,Activision,Anime,Medium,Solo,99
Battle Arena 268,Sports,PC,Multiplayer,Tactical,Medium,8.8,2020,Ubisoft,Pixel,Long,Online Co-op,90
Shadow Strike 269,RPG,PlayStation,Multiplayer,Sandbox,Hard,7.7,2018,Rockstar,3D,Short,Competitive,88
Night Hunter 270,Adventure,Nintendo,Single Player,Open World,Medium,7.5,2016,Epic Games,Pixel,Short,LAN,77
Battle Arena 271,Survival,Nintendo,Multiplayer,Battle Royale,Easy,9.2,2025,Valve,3D,Long,Competitive,76
Pixel Warriors 272,Racing,PlayStation,Multiplayer,Tactical,Medium,9.2,2021,Ubisoft,Cartoon,Long,Solo,85
Cyber Quest 273,Strategy,PC,Multiplayer,Simulation,Easy,9.4,2017,Bethesda,Realistic,Long,Casual,88
Hero Clash 274,RPG,PlayStation,Multiplayer,Sandbox,Easy,9.5,2018,Activision,Pixel,Medium,LAN,75
Speed Legends 275,Action,PC,Single Player,Simulation,Hard,8.2,2016,Bethesda,Pixel,Short,Online Co-op,89
Hero Clash 276,RPG,PlayStation,Multiplayer,Sandbox,Medium,8.2,2024,Epic Games,3D,Long,LAN,96
Mystic World 277,Adventure,PC,Single Player,Tactical,Medium,9.1,2023,Nintendo,Cartoon,Medium,Online Co-op,90
Dark Odyssey 278,Horror,Mobile,Multiplayer,Simulation,Easy,8.6,2017,Capcom,Cartoon,Short,LAN,80
Pixel Warriors 279,Simulation,Mobile,Multiplayer,Open World,Hard,8.8,2023,Capcom,3D,Medium,Online Co-op,74
Dark Odyssey 280,Simulation,PlayStation,Multiplayer,Sandbox,Easy,9.1,2024,Bethesda,Cartoon,Short,Online Co-op,85
Zombie Escape 281,Horror,Nintendo,Multiplayer,Battle Royale,Hard,9.4,2016,CD Projekt,Anime,Medium,LAN,76
Epic Champions 282,Survival,Xbox,Multiplayer,Battle Royale,Medium,7.6,2020,Nintendo,Realistic,Short,LAN,96
Battle Arena 283,Sports,Nintendo,Single Player,Open World,Hard,7.7,2023,Capcom,Pixel,Short,Online Co-op,74
Speed Legends 284,Racing,Nintendo,Multiplayer,Sandbox,Easy,6.8,2017,Nintendo,Realistic,Medium,Solo,80
Pixel Warriors 285,Simulation,PC,Multiplayer,Sandbox,Easy,8.4,2019,Ubisoft,Pixel,Long,LAN,84
Hero Clash 286,RPG,PC,Multiplayer,Tactical,Easy,6.6,2022,Nintendo,Anime,Short,Competitive,72
Epic Champions 287,Shooter,PlayStation,Multiplayer,Simulation,Hard,8.0,2018,EA Sports,Cartoon,Long,Casual,95
Fantasy Kings 288,Strategy,Nintendo,Multiplayer,Story Based,Medium,8.3,2020,Epic Games,3D,Medium,Online Co-op,74
Space Raiders 289,RPG,Nintendo,Multiplayer,Battle Royale,Easy,7.4,2023,Capcom,Anime,Long,Online Co-op,92
Shadow Strike 290,Simulation,Xbox,Single Player,Sandbox,Easy,8.4,2025,Nintendo,Realistic,Long,Casual,90
Cyber Quest 291,Sports,Nintendo,Single Player,Battle Royale,Medium,6.6,2018,Bethesda,3D,Long,Solo,74
Hero Clash 292,Action,PC,Multiplayer,Simulation,Hard,6.6,2019,Rockstar,Cartoon,Long,Casual,78
Fantasy Kings 293,Racing,Nintendo,Single Player,Story Based,Hard,9.2,2024,EA Sports,Anime,Long,LAN,84
Speed Legends 294,Horror,PlayStation,Multiplayer,Tactical,Hard,7.7,2022,EA Sports,3D,Short,Casual,72
Road Fury 295,Racing,Nintendo,Multiplayer,Battle Royale,Easy,6.9,2016,CD Projekt,Anime,Short,Online Co-op,98
Pixel Warriors 296,Survival,PC,Single Player,Open World,Hard,8.2,2019,Nintendo,Anime,Short,Casual,75
Battle Arena 297,Action,Mobile,Single Player,Simulation,Easy,9.0,2019,CD Projekt,Cartoon,Medium,Competitive,86
Battle Arena 298,Action,Xbox,Single Player,Open World,Medium,7.2,2024,CD Projekt,Pixel,Long,LAN,95
Road Fury 299,Shooter,Nintendo,Single Player,Tactical,Easy,8.6,2021,Rockstar,3D,Short,Casual,90
Night Hunter 300,Survival,Xbox,Multiplayer,Story Based,Easy,6.8,2024,Ubisoft,Cartoon,Medium,Online Co-op,77
Dark Odyssey 301,Adventure,Mobile,Single Player,Story Based,Medium,6.7,2021,Nintendo,Anime,Short,LAN,90
Fantasy Kings 302,Shooter,Nintendo,Multiplayer,Sandbox,Medium,8.3,2021,Activision,Cartoon,Short,Online Co-op,94
Survival Zone 303,Sports,Xbox,Single Player,Tactical,Easy,8.3,2020,Capcom,Pixel,Long,Solo,80
Mystic World 304,Strategy,PC,Multiplayer,Simulation,Hard,8.6,2020,CD Projekt,3D,Medium,Competitive,75
Epic Champions 305,Shooter,Mobile,Multiplayer,Battle Royale,Hard,8.9,2017,Epic Games,Pixel,Long,Solo,77
Space Raiders 306,Shooter,PlayStation,Single Player,Tactical,Hard,9.7,2023,Valve,Realistic,Long,Competitive,79
Night Hunter 307,Racing,Nintendo,Single Player,Story Based,Medium,8.2,2023,Epic Games,3D,Short,Casual,93
Epic Champions 308,Adventure,PlayStation,Single Player,Open World,Easy,7.6,2016,Rockstar,Pixel,Long,LAN,98
Battle Arena 309,Survival,Xbox,Single Player,Battle Royale,Hard,9.1,2023,Rockstar,Anime,Medium,Casual,72
Space Raiders 310,Simulation,Nintendo,Single Player,Tactical,Hard,7.4,2020,Bethesda,3D,Long,Competitive,92
Pixel Warriors 311,RPG,PlayStation,Multiplayer,Battle Royale,Medium,7.9,2017,Ubisoft,3D,Long,Competitive,83
Space Raiders 312,Sports,Xbox,Multiplayer,Simulation,Medium,6.8,2017,Capcom,Cartoon,Long,Competitive,92
Dark Odyssey 313,Survival,Mobile,Single Player,Sandbox,Medium,6.6,2021,CD Projekt,Anime,Short,Online Co-op,83
Zombie Escape 314,Sports,Mobile,Single Player,Tactical,Medium,9.7,2024,Epic Games,Realistic,Medium,LAN,79
Shadow Strike 315,Simulation,Xbox,Multiplayer,Story Based,Medium,9.3,2016,Valve,Pixel,Short,Casual,81
Space Raiders 316,Simulation,PC,Multiplayer,Battle Royale,Hard,8.8,2021,Rockstar,Cartoon,Short,Casual,75
Mystic World 317,Survival,PlayStation,Single Player,Simulation,Easy,7.8,2024,Rockstar,Pixel,Short,Solo,81
Epic Champions 318,Adventure,Xbox,Single Player,Simulation,Hard,7.1,2023,Ubisoft,Realistic,Short,Competitive,92
Zombie Escape 319,Sports,Nintendo,Single Player,Story Based,Easy,7.0,2021,Valve,Realistic,Short,Competitive,83
Road Fury 320,Adventure,PlayStation,Multiplayer,Open World,Hard,7.3,2018,Valve,3D,Medium,Competitive,71
Battle Arena 321,Action,Xbox,Single Player,Sandbox,Hard,8.3,2023,Ubisoft,Realistic,Long,Casual,78
Shadow Strike 322,Adventure,Xbox,Single Player,Simulation,Easy,8.9,2024,Rockstar,Pixel,Short,Solo,79
Shadow Strike 323,Horror,PC,Multiplayer,Simulation,Medium,8.7,2016,Capcom,Anime,Short,Online Co-op,95
Shadow Strike 324,Racing,PC,Multiplayer,Simulation,Easy,7.4,2024,Nintendo,Anime,Medium,LAN,86
Epic Champions 325,Survival,Xbox,Multiplayer,Story Based,Easy,9.7,2021,Nintendo,3D,Medium,Online Co-op,86
Fantasy Kings 326,Shooter,PlayStation,Single Player,Battle Royale,Easy,8.9,2021,Ubisoft,Pixel,Long,Casual,72
Hero Clash 327,Strategy,Xbox,Single Player,Sandbox,Medium,8.3,2019,Valve,Pixel,Medium,Competitive,99
Cyber Quest 328,Shooter,Mobile,Single Player,Story Based,Easy,8.5,2016,CD Projekt,Realistic,Long,LAN,88
Survival Zone 329,Shooter,Xbox,Multiplayer,Battle Royale,Medium,7.9,2025,Ubisoft,Pixel,Short,Casual,70
Fantasy Kings 330,Action,PlayStation,Single Player,Tactical,Hard,7.3,2023,Capcom,Cartoon,Short,Casual,81
Dragon Realm 331,Simulation,Mobile,Single Player,Sandbox,Hard,7.7,2017,Ubisoft,Realistic,Long,Casual,76
Fantasy Kings 332,Action,Xbox,Multiplayer,Sandbox,Hard,9.0,2016,EA Sports,Cartoon,Medium,LAN,73
Mystic World 333,RPG,PlayStation,Single Player,Simulation,Medium,6.5,2017,Epic Games,3D,Long,LAN,79
Mystic World 334,Horror,Xbox,Single Player,Story Based,Medium,6.9,2016,Valve,Anime,Medium,Solo,82
Cyber Quest 335,Strategy,PC,Multiplayer,Open World,Easy,6.7,2016,Bethesda,3D,Short,Solo,71
Night Hunter 336,Adventure,Mobile,Single Player,Simulation,Hard,6.6,2024,Bethesda,Anime,Medium,Online Co-op,79
Survival Zone 337,Sports,PlayStation,Multiplayer,Tactical,Hard,9.3,2016,Valve,3D,Long,LAN,90
Space Raiders 338,RPG,Xbox,Multiplayer,Battle Royale,Medium,8.8,2019,Capcom,Pixel,Long,LAN,91
Night Hunter 339,Adventure,Xbox,Multiplayer,Simulation,Medium,8.1,2025,EA Sports,Cartoon,Short,LAN,94
Epic Champions 340,RPG,Mobile,Multiplayer,Tactical,Medium,6.8,2021,EA Sports,Anime,Medium,Solo,73
Epic Champions 341,Racing,Xbox,Single Player,Battle Royale,Easy,8.1,2022,Rockstar,Realistic,Medium,Casual,87
Speed Legends 342,Shooter,Mobile,Single Player,Story Based,Easy,8.1,2017,Epic Games,Cartoon,Medium,Competitive,74
Survival Zone 343,Strategy,Nintendo,Multiplayer,Open World,Medium,7.1,2021,Nintendo,Realistic,Short,Solo,88
Pixel Warriors 344,Strategy,PlayStation,Multiplayer,Open World,Medium,7.9,2022,Activision,Cartoon,Medium,LAN,71
Battle Arena 345,Racing,Nintendo,Single Player,Tactical,Easy,7.8,2025,Capcom,Cartoon,Long,Solo,81
Epic Champions 346,Racing,Xbox,Multiplayer,Simulation,Easy,8.5,2025,Activision,3D,Medium,Online Co-op,86
Speed Legends 347,Shooter,Mobile,Multiplayer,Tactical,Hard,8.6,2017,Activision,Anime,Short,LAN,79
Mystic World 348,Horror,PC,Single Player,Story Based,Easy,6.6,2017,Valve,Anime,Medium,Online Co-op,71
Dark Odyssey 349,Racing,Nintendo,Single Player,Battle Royale,Easy,7.7,2025,Bethesda,Cartoon,Medium,LAN,75
Epic Champions 350,Sports,PC,Single Player,Story Based,Medium,8.6,2022,Bethesda,Pixel,Long,Solo,77
Mystic World 351,Action,PC,Multiplayer,Simulation,Medium,8.2,2016,Nintendo,Pixel,Medium,Casual,98
Dark Odyssey 352,Simulation,PC,Single Player,Tactical,Easy,9.3,2023,Valve,Realistic,Long,Competitive,88
Mystic World 353,Adventure,PlayStation,Single Player,Simulation,Medium,8.7,2018,Activision,Realistic,Long,Online Co-op,80
Dark Odyssey 354,Adventure,Nintendo,Single Player,Simulation,Easy,7.0,2021,CD Projekt,3D,Short,Solo,94
Fantasy Kings 355,Shooter,Nintendo,Single Player,Story Based,Hard,6.7,2024,Bethesda,Cartoon,Long,Casual,81
Survival Zone 356,RPG,Nintendo,Single Player,Battle Royale,Hard,8.6,2021,Capcom,Realistic,Long,Solo,78
Cyber Quest 357,Sports,PlayStation,Multiplayer,Simulation,Easy,6.6,2024,Capcom,Realistic,Short,Online Co-op,71
Shadow Strike 358,Action,Xbox,Multiplayer,Tactical,Medium,8.4,2022,Rockstar,Cartoon,Long,Competitive,77
Zombie Escape 359,RPG,Mobile,Single Player,Simulation,Hard,9.6,2024,Ubisoft,3D,Short,Solo,95
Speed Legends 360,Horror,PC,Multiplayer,Simulation,Medium,8.4,2017,CD Projekt,Realistic,Medium,LAN,80
Pixel Warriors 361,RPG,PlayStation,Multiplayer,Tactical,Hard,7.8,2023,Bethesda,3D,Short,Casual,97
Speed Legends 362,Adventure,PC,Multiplayer,Sandbox,Easy,8.6,2023,EA Sports,Anime,Long,Solo,90
Epic Champions 363,Racing,Mobile,Single Player,Story Based,Easy,8.0,2017,Bethesda,3D,Short,Casual,73
Space Raiders 364,Simulation,PlayStation,Single Player,Story Based,Easy,8.3,2019,Rockstar,Pixel,Long,LAN,79
Hero Clash 365,Simulation,Xbox,Multiplayer,Sandbox,Easy,9.6,2022,Capcom,Pixel,Medium,Competitive,90
Hero Clash 366,Horror,PC,Single Player,Sandbox,Hard,7.8,2019,Activision,3D,Short,Competitive,89
Road Fury 367,Simulation,Mobile,Single Player,Story Based,Hard,9.7,2019,EA Sports,Pixel,Medium,LAN,85
Shadow Strike 368,Horror,Mobile,Single Player,Tactical,Easy,9.5,2021,Valve,Anime,Long,Casual,77
Dragon Realm 369,Survival,PlayStation,Single Player,Open World,Medium,7.1,2025,Epic Games,Cartoon,Long,Solo,73
Dragon Realm 370,Action,Xbox,Multiplayer,Open World,Medium,6.7,2021,Activision,Pixel,Medium,LAN,98
Battle Arena 371,RPG,PC,Single Player,Simulation,Hard,6.8,2025,Epic Games,Pixel,Short,Online Co-op,79
Dark Odyssey 372,Strategy,Nintendo,Single Player,Battle Royale,Medium,6.6,2018,CD Projekt,3D,Short,Casual,81
Fantasy Kings 373,Survival,PlayStation,Single Player,Simulation,Hard,6.8,2024,Ubisoft,Anime,Long,Competitive,98
Speed Legends 374,Sports,Mobile,Multiplayer,Sandbox,Hard,8.8,2025,EA Sports,Cartoon,Medium,LAN,83
Space Raiders 375,Strategy,PlayStation,Single Player,Battle Royale,Hard,6.7,2017,Nintendo,3D,Medium,Competitive,85
Battle Arena 376,Adventure,Nintendo,Multiplayer,Tactical,Medium,7.6,2021,EA Sports,3D,Short,Casual,91
Epic Champions 377,RPG,Xbox,Multiplayer,Sandbox,Easy,9.3,2022,Bethesda,Anime,Short,Competitive,87
Hero Clash 378,Simulation,Mobile,Single Player,Battle Royale,Hard,6.6,2024,Capcom,Cartoon,Short,LAN,90
Road Fury 379,Strategy,PlayStation,Single Player,Simulation,Easy,9.2,2018,Bethesda,Anime,Medium,Casual,91
Space Raiders 380,Survival,PlayStation,Single Player,Open World,Hard,7.4,2025,Bethesda,Cartoon,Short,Online Co-op,90
Survival Zone 381,Sports,PC,Single Player,Sandbox,Hard,6.9,2018,CD Projekt,Anime,Short,LAN,81
Zombie Escape 382,RPG,PlayStation,Single Player,Open World,Medium,8.8,2022,Activision,3D,Long,Solo,87
Pixel Warriors 383,Racing,PlayStation,Single Player,Simulation,Medium,8.6,2019,Nintendo,3D,Short,LAN,99
Epic Champions 384,Horror,Xbox,Multiplayer,Battle Royale,Easy,9.4,2023,Nintendo,Realistic,Short,Casual,76
Pixel Warriors 385,Horror,PC,Multiplayer,Simulation,Easy,8.9,2022,Bethesda,Pixel,Medium,LAN,89
Shadow Strike 386,Horror,PC,Single Player,Story Based,Easy,9.2,2020,Epic Games,Anime,Medium,Online Co-op,93
Speed Legends 387,Racing,Mobile,Single Player,Simulation,Hard,7.4,2022,CD Projekt,Realistic,Long,Online Co-op,92
Mystic World 388,Simulation,Mobile,Single Player,Story Based,Easy,7.1,2018,Bethesda,Pixel,Short,Solo,76
Road Fury 389,Racing,PC,Multiplayer,Simulation,Easy,9.0,2017,Ubisoft,Anime,Long,Competitive,78
Dragon Realm 390,Simulation,Nintendo,Single Player,Sandbox,Hard,9.2,2021,Capcom,Cartoon,Medium,Casual,70
Epic Champions 391,Shooter,Mobile,Single Player,Simulation,Easy,9.8,2017,Activision,Pixel,Long,Casual,95
Road Fury 392,Sports,PC,Multiplayer,Tactical,Hard,7.9,2018,Valve,3D,Medium,Competitive,75
Night Hunter 393,Action,Xbox,Single Player,Story Based,Medium,7.7,2021,Ubisoft,Realistic,Long,Online Co-op,75
Fantasy Kings 394,Adventure,Nintendo,Single Player,Battle Royale,Medium,9.1,2020,Epic Games,Pixel,Long,Online Co-op,91
Speed Legends 395,Simulation,Xbox,Single Player,Sandbox,Medium,7.6,2023,EA Sports,Pixel,Short,LAN,98
Mystic World 396,Sports,Nintendo,Multiplayer,Open World,Easy,9.6,2024,EA Sports,3D,Long,Solo,81
Space Raiders 397,Survival,PlayStation,Multiplayer,Simulation,Easy,9.3,2018,Ubisoft,Anime,Short,Solo,91
Epic Champions 398,Sports,Nintendo,Single Player,Sandbox,Medium,7.9,2025,Bethesda,Cartoon,Short,Solo,81
Fantasy Kings 399,Simulation,Nintendo,Multiplayer,Open World,Easy,9.0,2018,Valve,3D,Short,LAN,79
Pixel Warriors 400,Horror,Nintendo,Single Player,Simulation,Medium,9.0,2018,Rockstar,Cartoon,Short,Solo,92
Fantasy Kings 401,Shooter,Mobile,Multiplayer,Battle Royale,Easy,6.8,2021,Rockstar,Anime,Long,Competitive,99
Zombie Escape 402,Action,Nintendo,Single Player,Open World,Medium,9.5,2016,Epic Games,Pixel,Medium,LAN,95
Epic Champions 403,Horror,Nintendo,Multiplayer,Simulation,Medium,8.2,2022,Bethesda,Cartoon,Medium,Competitive,75
Dark Odyssey 404,Survival,PlayStation,Multiplayer,Story Based,Medium,9.2,2016,Nintendo,Realistic,Medium,LAN,86
Survival Zone 405,Action,PC,Multiplayer,Simulation,Medium,7.6,2020,Nintendo,Realistic,Long,Solo,88
Hero Clash 406,Shooter,Xbox,Single Player,Tactical,Hard,9.5,2025,Activision,3D,Short,Competitive,87
Fantasy Kings 407,Adventure,Mobile,Single Player,Sandbox,Medium,7.8,2023,Valve,Anime,Medium,Competitive,75
Fantasy Kings 408,Strategy,PlayStation,Multiplayer,Simulation,Easy,6.5,2019,Valve,3D,Long,Competitive,93
Battle Arena 409,RPG,Nintendo,Multiplayer,Story Based,Easy,9.5,2020,EA Sports,3D,Short,LAN,88
Dragon Realm 410,Sports,Nintendo,Multiplayer,Simulation,Hard,6.8,2019,CD Projekt,3D,Medium,Casual,79
Speed Legends 411,Simulation,PlayStation,Single Player,Tactical,Medium,7.6,2019,Epic Games,Realistic,Short,Solo,93
Speed Legends 412,Horror,Xbox,Multiplayer,Story Based,Medium,9.6,2023,Rockstar,Realistic,Medium,Competitive,77
Hero Clash 413,Racing,Mobile,Single Player,Sandbox,Hard,9.6,2017,Epic Games,3D,Medium,Casual,90
Dark Odyssey 414,Survival,Nintendo,Single Player,Story Based,Medium,8.4,2016,Nintendo,Realistic,Medium,Solo,93
Space Raiders 415,Simulation,Mobile,Multiplayer,Story Based,Easy,8.6,2018,Nintendo,Anime,Short,Solo,75
Cyber Quest 416,Action,Mobile,Multiplayer,Open World,Easy,8.0,2024,Ubisoft,3D,Long,Competitive,90
Pixel Warriors 417,Sports,Nintendo,Multiplayer,Tactical,Easy,7.5,2019,Activision,Realistic,Short,Competitive,94
Dragon Realm 418,Adventure,PC,Multiplayer,Open World,Medium,7.6,2025,Valve,Cartoon,Medium,LAN,99
Road Fury 419,Shooter,Mobile,Single Player,Open World,Hard,8.7,2020,Capcom,3D,Short,Casual,76
Fantasy Kings 420,Racing,PlayStation,Single Player,Battle Royale,Easy,9.0,2017,Epic Games,3D,Long,Casual,93
Shadow Strike 421,Action,Nintendo,Single Player,Open World,Hard,9.1,2019,Nintendo,Anime,Short,Competitive,70
Dragon Realm 422,Strategy,PC,Multiplayer,Battle Royale,Medium,9.1,2017,CD Projekt,Pixel,Long,Solo,96
Cyber Quest 423,Shooter,PlayStation,Multiplayer,Story Based,Easy,6.8,2017,EA Sports,Pixel,Long,Competitive,87
Space Raiders 424,Racing,Nintendo,Single Player,Sandbox,Hard,8.1,2019,Rockstar,Anime,Short,Solo,93
Hero Clash 425,Action,PC,Single Player,Open World,Medium,6.7,2021,Activision,Anime,Medium,Solo,97
Hero Clash 426,Adventure,Mobile,Single Player,Sandbox,Hard,8.3,2022,CD Projekt,Anime,Long,Competitive,94
Dark Odyssey 427,Action,Mobile,Single Player,Simulation,Easy,8.0,2025,Activision,Pixel,Short,Online Co-op,89
Zombie Escape 428,RPG,PlayStation,Multiplayer,Story Based,Medium,9.4,2018,Ubisoft,Anime,Long,Casual,81
Dragon Realm 429,RPG,Nintendo,Multiplayer,Simulation,Hard,7.7,2018,Capcom,Realistic,Medium,Solo,85
Pixel Warriors 430,Sports,Xbox,Multiplayer,Battle Royale,Hard,6.9,2025,Nintendo,3D,Short,Solo,79
Cyber Quest 431,Strategy,Xbox,Multiplayer,Open World,Medium,7.0,2021,EA Sports,3D,Short,Online Co-op,96
Night Hunter 432,Adventure,Nintendo,Single Player,Battle Royale,Hard,9.0,2018,CD Projekt,Cartoon,Short,LAN,79
Epic Champions 433,Horror,Nintendo,Multiplayer,Story Based,Medium,8.5,2017,Activision,Cartoon,Medium,Online Co-op,83
Cyber Quest 434,Racing,Mobile,Multiplayer,Battle Royale,Hard,6.8,2023,Valve,3D,Long,Online Co-op,94
Mystic World 435,Simulation,Nintendo,Multiplayer,Sandbox,Hard,6.8,2020,Ubisoft,Realistic,Short,Solo,89
Cyber Quest 436,Simulation,PlayStation,Single Player,Sandbox,Medium,8.8,2016,Valve,Pixel,Long,Casual,79
Survival Zone 437,Adventure,Mobile,Single Player,Simulation,Medium,6.7,2018,EA Sports,Pixel,Long,Online Co-op,79
Road Fury 438,Simulation,Mobile,Single Player,Story Based,Hard,9.2,2025,CD Projekt,Realistic,Medium,LAN,95
Zombie Escape 439,Strategy,Mobile,Single Player,Tactical,Medium,8.8,2023,Ubisoft,Pixel,Short,Competitive,94
Cyber Quest 440,Strategy,PC,Multiplayer,Tactical,Hard,6.8,2019,CD Projekt,Anime,Long,Online Co-op,80
Survival Zone 441,Survival,Nintendo,Multiplayer,Simulation,Easy,6.8,2022,Nintendo,3D,Short,Online Co-op,92
Speed Legends 442,Adventure,Mobile,Single Player,Battle Royale,Medium,9.8,2025,Bethesda,3D,Short,LAN,71
Mystic World 443,Horror,PC,Single Player,Battle Royale,Hard,7.7,2017,Ubisoft,Realistic,Medium,Casual,94
Mystic World 444,Horror,Xbox,Multiplayer,Simulation,Medium,7.7,2022,Valve,Pixel,Short,Online Co-op,89
Night Hunter 445,Survival,Nintendo,Single Player,Open World,Easy,9.2,2020,EA Sports,Cartoon,Short,Online Co-op,77
Zombie Escape 446,Adventure,Nintendo,Single Player,Sandbox,Easy,9.6,2020,Capcom,Cartoon,Long,Casual,99
Space Raiders 447,Action,Xbox,Multiplayer,Battle Royale,Hard,9.8,2021,Nintendo,Pixel,Medium,LAN,92
Mystic World 448,Racing,PlayStation,Single Player,Sandbox,Hard,9.0,2024,Bethesda,Cartoon,Short,Online Co-op,98
Battle Arena 449,Simulation,PC,Single Player,Tactical,Medium,7.7,2021,Capcom,Realistic,Long,Casual,76
Road Fury 450,Racing,PC,Multiplayer,Story Based,Hard,6.8,2023,Rockstar,Realistic,Medium,Online Co-op,77
Epic Champions 451,RPG,PC,Single Player,Story Based,Medium,9.1,2022,Nintendo,Pixel,Medium,Competitive,70
